Date,Region,Product,Volume_Sold_Liters,Revenue_PKR,Inventory_Level_Liters
2024-01-01,Karachi,Petrol,12500,2812500,45000
2024-01-01,Lahore,Petrol,10800,2430000,38000
2024-01-01,Islamabad,Petrol,9500,2137500,42000
2024-01-01,Karachi,Diesel,14200,3195000,52000
2024-01-01,Lahore,Diesel,11800,2655000,49000
2024-01-01,Islamabad,Diesel,10200,2295000,47000
2024-02-01,Karachi,Petrol,13200,2970000,41000
2024-02-01,Lahore,Petrol,11400,2565000,36000
2024-02-01,Islamabad,Petrol,10100,2272500,39000
2024-02-01,Karachi,Diesel,15100,3397500,48000
2024-02-01,Lahore,Diesel,12600,2835000,46000
2024-02-01,Islamabad,Diesel,10900,2452500,44000
2024-03-01,Karachi,Petrol,14100,3172500,38000
2024-03-01,Lahore,Petrol,12200,2745000,34000
2024-03-01,Islamabad,Petrol,10800,2430000,36000
2024-03-01,Karachi,Diesel,16300,3667500,45000
2024-03-01,Lahore,Diesel,13800,3105000,43000
2024-03-01,Islamabad,Diesel,11700,2632500,41000
